,title,author,description,genre,rating,publisher,pages,format,date,url
202,The Body: A Guide for Occupants,Bill Bryson,"In the bestselling, prize-winning A Short History of Nearly Everything, Bill Bryson achieved the seemingly impossible by making the science of our world both understandable and entertaining to millions of people around the globe.Now he turns his attention inwards to explore the human body, how it functions and its remarkable ability to heal itself. Full of extraordinary
In the bestselling, prize-winning A Short History of Nearly Everything, Bill Bryson achieved the seemingly impossible by making the science of our world both understandable and entertaining to millions of people around the globe.Now he turns his attention inwards to explore the human body, how it functions and its remarkable ability to heal itself. Full of extraordinary facts and astonishing stories, The Body: A Guide for Occupants is a brilliant, often very funny attempt to understand the miracle of our physical and neurological make up.A wonderful successor to A Short History of Nearly Everything, this book will have you marvelling at the form you occupy, and celebrating the genius of your existence, time and time again.",Nonfiction,4.32,Doubleday Books,450,Hardcover,"October 15th, 2019",https://www.goodreads.com/book/show/43582376-the-body?from_choice=true
203,How To: Absurd Scientific Advice for Common Real-World Problems,Randall Munroe,"The world's most entertaining and useless self-help guide, from the brilliant mind behind the wildly popular webcomic xkcd and the #1 New York Times bestsellers What If? and Thing ExplainerFor any task you might want to do, there's a right way, a wrong way, and a way so monumentally complex, excessive, and inadvisable that no one would ever try it. How To is a guide to the
The world's most entertaining and useless self-help guide, from the brilliant mind behind the wildly popular webcomic xkcd and the #1 New York Times bestsellers What If? and Thing ExplainerFor any task you might want to do, there's a right way, a wrong way, and a way so monumentally complex, excessive, and inadvisable that no one would ever try it. How To is a guide to the third kind of approach. It's full of highly impractical advice for everything from landing a plane to digging a hole.Bestselling author and cartoonist Randall Munroe explains how to predict the weather by analyzing the pixels of your Facebook photos. He teaches you how to tell if you're a baby boomer or a 90's kid by measuring the radioactivity of your teeth. He offers tips for taking a selfie with a telescope, crossing a river by boiling it, and powering your house by destroying the fabric of space-time. And if you want to get rid of the book once you're done with it, he walks you through your options for proper disposal, including dissolving it in the ocean, converting it to a vapor, using tectonic plates to subduct it into the Earth's mantle, or launching it into the Sun.By exploring the most complicated ways to do simple tasks, Munroe doesn't just make things difficult for himself and his readers. As he did so brilliantly in What If?, Munroe invites us to explore the most absurd reaches of the possible. Full of clever infographics and amusing illustrations, How To is a delightfully mind-bending way to better understand the science and technology underlying the things we do every day.",Nonfiction,4.19,Riverhead Books,307,Hardcover,"September 3rd, 2019",https://www.goodreads.com/book/show/43852758-how-to?from_choice=true
204,Mama's Last Hug: Animal Emotions and What They Tell Us about Ourselves,Frans de Waal,"New York Times best-selling author and primatologist Frans de Waal explores the fascinating world of animal and human emotions.Frans de Waal has spent four decades at the forefront of animal research. Following up on the best-selling Are We Smart Enough to Know How Smart Animals Are?, which investigated animal intelligence, Mamas Last Hug delivers a fascinating exploration
New York Times best-selling author and primatologist Frans de Waal explores the fascinating world of animal and human emotions.Frans de Waal has spent four decades at the forefront of animal research. Following up on the best-selling Are We Smart Enough to Know How Smart Animals Are?, which investigated animal intelligence, Mama’s Last Hug delivers a fascinating exploration of the rich emotional lives of animals.Mama’s Last Hug begins with the death of Mama, a chimpanzee matriarch who formed a deep bond with biologist Jan van Hooff. When Mama was dying, van Hooff took the unusual step of visiting her in her night cage for a last hug. Their goodbyes were filmed and went viral. Millions of people were deeply moved by the way Mama embraced the professor, welcoming him with a big smile while reassuring him by patting his neck, in a gesture often considered typically human but that is in fact common to all primates. This story and others like it form the core of de Waal’s argument, showing that humans are not the only species with the capacity for love, hate, fear, shame, guilt, joy, disgust, and empathy.De Waal discusses facial expressions, the emotions behind human politics, the illusion of free will, animal sentience, and, of course, Mama’s life and death. The message is one of continuity between us and other species, such as the radical proposal that emotions are like organs: we don’t have a single organ that other animals don’t have, and the same is true for our emotions. Mama’s Last Hug opens our hearts and minds to the many ways in which humans and other animals are connected, transforming how we view the living world around us.",Nonfiction,4.16,W. W. Norton & Company,336,Hardcover,March 12th 2019,https://www.goodreads.com/book/show/40180060-mama-s-last-hug?from_choice=true
205,Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"The key to living well in a high tech world is to spend much less time using technology.Georgetown computer scientist Cal Newport's Deep Work sparked a movement around the idea that unbroken concentration produces far more value than the electronic busyness that defines the modern work day. But his readers had an urgent follow-up question: What about technology in our
The key to living well in a high tech world is to spend much less time using technology.Georgetown computer scientist Cal Newport's Deep Work sparked a movement around the idea that unbroken concentration produces far more value than the electronic busyness that defines the modern work day. But his readers had an urgent follow-up question: What about technology in our personal lives?In recent years, our culture's relationship with personal technology has transformed from something exciting into something darker. Innovations like smartphones and social media are useful, but many of us are increasingly troubled by how much control these tools seem to exert over our daily experiences--including how we spend our free time and how we feel about ourselves.In Digital Minimalism, Newport proposes a bold solution: a minimalist approach to technology use in which you radically reduce the time you spend online, focusing on a small set of carefully-selected activities while happily ignoring the rest.He mounts a vigorous defense for this less-is-more approach, combining historical examples with case studies of modern digital minimalists to argue that this philosophy isn't a rejection of technology, but instead a necessary realignment to ensure that these tools serve us, not the other way around.To make these principles practical, he takes us inside the growing subculture of digital minimalists who have built rich lives on a foundation of intentional technology use, and details a decluttering process that thousands have already used to simplify their online lives. He also stresses the importance of never clicking ""like,"" explores the underappreciated value of analog hobbies, and draws lessons from the ""attention underground""--a resistance movement fighting the tech companies' attempts to turn us into gadget addicts.Digital Minimalism is an indispensable guide for anyone looking to reclaim their life from the alluring diversions of the digital world.",Nonfiction,4.07,Portfolio,304,Hardcover,"February 5th, 2019",https://www.goodreads.com/book/show/40405444-digital-minimalism?from_choice=true
206,The Uninhabitable Earth: Life After Warming,David Wallace-Wells,"It is worse, much worse, than you think. If your anxiety about global warming is dominated by fears of sea-level rise, you are barely scratching the surface of what terrors are possible. In California, wildfires now rage year-round, destroying thousands of homes. Across the US, ""500-year"" storms pummel communities month after month, and floods displace tens of millions
It is worse, much worse, than you think. If your anxiety about global warming is dominated by fears of sea-level rise, you are barely scratching the surface of what terrors are possible. In California, wildfires now rage year-round, destroying thousands of homes. Across the US, ""500-year"" storms pummel communities month after month, and floods displace tens of millions annually.This is only a preview of the changes to come. And they are coming fast. Without a revolution in how billions of humans conduct their lives, parts of the Earth could become close to uninhabitable, and other parts horrifically inhospitable, as soon as the end of this century.In his travelogue of our near future, David Wallace-Wells brings into stark relief the climate troubles that await--food shortages, refugee emergencies, and other crises that will reshape the globe. But the world will be remade by warming in more profound ways as well, transforming our politics, our culture, our relationship to technology, and our sense of history. It will be all-encompassing, shaping and distorting nearly every aspect of human life as it is lived today.Like An Inconvenient Truth and Silent Spring before it, The Uninhabitable Earth is both a meditation on the devastation we have brought upon ourselves and an impassioned call to action. For just as the world was brought to the brink of catastrophe within the span of a lifetime, the responsibility to avoid it now belongs to a single generation.",Nonfiction,4.11,Tim Duggan Books,310,Hardcover,"February 19th, 2019",https://www.goodreads.com/book/show/41552709-the-uninhabitable-earth?from_choice=true
207,Underland,Robert Macfarlane,"From the best-selling, award-winning author of Landmarks and The Old Ways, a haunting voyage into the planets past and future.Hailed as ""the great nature writer of this generation"" (Wall Street Journal), Robert Macfarlane is the celebrated author of books about the intersections of the human and the natural realms. In Underland, he delivers his masterpiece: an epic
From the best-selling, award-winning author of Landmarks and The Old Ways, a haunting voyage into the planet’s past and future.Hailed as ""the great nature writer of this generation"" (Wall Street Journal), Robert Macfarlane is the celebrated author of books about the intersections of the human and the natural realms. In Underland, he delivers his masterpiece: an epic exploration of the Earth’s underworlds as they exist in myth, literature, memory, and the land itself.In this highly anticipated sequel to his international bestseller The Old Ways, Macfarlane takes us on an extraordinary journey into our relationship with darkness, burial, and what lies beneath the surface of both place and mind. Traveling through “deep time”—the dizzying expanses of geologic time that stretch away from the present—he moves from the birth of the universe to a post-human future, from the prehistoric art of Norwegian sea caves to the blue depths of the Greenland ice cap, from Bronze Age funeral chambers to the catacomb labyrinth below Paris, and from the underground fungal networks through which trees communicate to a deep-sunk “hiding place” where nuclear waste will be stored for 100,000 years to come. Woven through Macfarlane’s own travels are the unforgettable stories of descents into the underland made across history by explorers, artists, cavers, divers, mourners, dreamers, and murderers, all of whom have been drawn for different reasons to seek what Cormac McCarthy calls “the awful darkness within the world.”Global in its geography and written with great lyricism and power, Underland speaks powerfully to our present moment. Taking a deep-time view of our planet, Macfarlane here asks a vital and unsettling question: “Are we being good ancestors to the future Earth?” Underland marks a new turn in Macfarlane’s long-term mapping of the relations of landscape and the human heart. From its remarkable opening pages to its deeply moving conclusion, it is a journey into wonder, loss, fear, and hope. At once ancient and urgent, this is a book that will change the way you see the world.",Nonfiction,4.24,W.W. Norton & Company,496,Hardcover,June 4th 2019,https://www.goodreads.com/book/show/41817481-underland?from_choice=true
208,"Crisis in the Red Zone: The Story of the Deadliest Ebola Outbreak in History, and of the Outbreaks to Come",Richard Preston,"The 2013-2014 Ebola epidemic was the deadliest ever--but the outbreaks continue. Now comes a gripping account of the doctors and scientists fighting to protect us, an urgent wake-up call about the future of emerging viruses--from the #1 bestselling author of The Hot Zone, soon to be a National Geographic original miniseries.This time, Ebola started with a two-year-old
The 2013-2014 Ebola epidemic was the deadliest ever--but the outbreaks continue. Now comes a gripping account of the doctors and scientists fighting to protect us, an urgent wake-up call about the future of emerging viruses--from the #1 bestselling author of The Hot Zone, soon to be a National Geographic original miniseries.This time, Ebola started with a two-year-old child who likely had contact with a wild creature and whose entire family quickly fell ill and died. The ensuing global drama activated health professionals in North America, Europe, and Africa in a desperate race against time to contain the viral wildfire. By the end--as the virus mutated into its deadliest form, and spread farther and faster than ever before--30,000 people would be infected, and the dead would be spread across eight countries on three continents.In this taut and suspenseful medical drama, Richard Preston deeply chronicles the outbreak, in which we saw for the first time the specter of Ebola jumping continents, crossing the Atlantic, and infecting people in America. Rich in characters and conflict--physical, emotional, and ethical--Crisis in the Red Zone is an immersion in one of the great public health calamities of our time.Preston writes of doctors and nurses in the field putting their own lives on the line, of government bureaucrats and NGO administrators moving, often fitfully, to try to contain the outbreak, and of pharmaceutical companies racing to develop drugs to combat the virus. He also explores the charged ethical dilemma over who should and did receive the rare doses of an experimental treatment when they became available at the peak of the disaster. Crisis in the Red Zone makes clear that the outbreak of 2013-2014 is a harbinger of further, more severe outbreaks, and of emerging viruses heretofore unimagined--in any country, on any continent. In our ever more interconnected world, with roads and towns cut deep into the jungles of equatorial Africa, viruses both familiar and undiscovered are being unleashed into more densely populated areas than ever before.The more we discover about the virosphere, the more we realize its deadly potential. Crisis in the Red Zone is an exquisitely timely book, a stark warning of viral outbreaks to come.",Nonfiction,4.40,Random House,375,Hardcover,"July 23rd, 2019",https://www.goodreads.com/book/show/44526650-crisis-in-the-red-zone?from_choice=true
209,We Are the Weather: Saving the Planet Begins at Breakfast,Jonathan Safran Foer,"Some people reject the fact, overwhelmingly supported by scientists, that our planet is warming because of human activity. But do those of us who accept the reality of human-caused climate change truly believe it? If we did, surely we would be roused to act on what we know. Will future generations distinguish between those who didnt believe in the science of global warming
Some people reject the fact, overwhelmingly supported by scientists, that our planet is warming because of human activity. But do those of us who accept the reality of human-caused climate change truly believe it? If we did, surely we would be roused to act on what we know. Will future generations distinguish between those who didn’t believe in the science of global warming and those who said they accepted the science but failed to change their lives in response?In We Are the Weather, Jonathan Safran Foer explores the central global dilemma of our time in a surprising, deeply personal, and urgent new way. The task of saving the planet will involve a great reckoning with ourselves—with our all-too-human reluctance to sacrifice immediate comfort for the sake of the future. We have, he reveals, turned our planet into a farm for growing animal products, and the consequences are catastrophic. Only collective action will save our home and way of life. And it all starts with what we eat—and don’t eat—for breakfast.",Nonfiction,3.75,"Farrar, Straus and Giroux",288,Hardcover,"September 17th, 2019",https://www.goodreads.com/book/show/43565381-we-are-the-weather?from_choice=true
210,Never Enough: The Neuroscience and Experience of Addiction,Judith Grisel,"From a renowned behavioral neuroscientist and recovered drug addict, an authoritative and accessible guide to understanding drug addiction: clearly explained brain science and vivid personal stories reveal how addiction happens, show why specific drugs--from opioids to alcohol to coke and more--are so hard to kick, and illuminate the path to recovery for addicts, loved
From a renowned behavioral neuroscientist and recovered drug addict, an authoritative and accessible guide to understanding drug addiction: clearly explained brain science and vivid personal stories reveal how addiction happens, show why specific drugs--from opioids to alcohol to coke and more--are so hard to kick, and illuminate the path to recovery for addicts, loved ones, caregivers, and crafters of public policy.Addiction is epidemic and catastrophic. With more than one in every five people over the age of fourteen addicted, drug abuse has been called the most formidable health problem worldwide. If we are not victims ourselves, we all know someone struggling with the merciless compulsion to alter their experience by changing how their brain functions.Drawing on years of research--as well as personal experience as a recovered addict--researcher and professor Judy Grisel has reached a fundamental conclusion: for the addict, there will never be enough drugs. The brain's capacity to learn and adapt is seemingly infinite, allowing it to counteract any regular disruption, including that caused by drugs. What begins as a normal state punctuated by periods of being high transforms over time into a state of desperate craving that is only temporarily subdued by a fix, explaining why addicts are unable to live either with or without their drug. One by one, Grisel shows how different drugs act on the brain, the kind of experiential effects they generate, and the specific reasons why each is so hard to kick.Grisel's insights lead to a better understanding of the brain's critical contributions to addictive behavior, and will help inform a more rational, coherent, and compassionate response to the epidemic in our homes and communities.",Nonfiction,4.07,Doubleday Books,256,Hardcover,"February 19th, 2019",https://www.goodreads.com/book/show/39999461-never-enough?from_choice=true
211,Hacking Darwin: Genetic Engineering and the Future of Humanity,Jamie Metzl,"Passionate, provocative, and highly illuminating, Hacking Darwin is the must read book about the future of our species for fans of Homo Deus and The Gene. After 3.8 billion years humankind is about to start evolving by new rules...From leading geopolitical expert and technology futurist Jamie Metzl comes a groundbreaking exploration of the many ways genetic-engineering is
Passionate, provocative, and highly illuminating, Hacking Darwin is the must read book about the future of our species for fans of Homo Deus and The Gene. After 3.8 billion years humankind is about to start evolving by new rules...From leading geopolitical expert and technology futurist Jamie Metzl comes a groundbreaking exploration of the many ways genetic-engineering is shaking the core foundations of our lives -- sex, war, love, and death.At the dawn of the genetics revolution, our DNA is becoming as readable, writable, and hackable as our information technology. But as humanity starts retooling our own genetic code, the choices we make today will be the difference between realizing breathtaking advances in human well-being and descending into a dangerous and potentially deadly genetic arms race.Enter the laboratories where scientists are turning science fiction into reality. Look towards a future where our deepest beliefs, morals, religions, and politics are challenged like never before and the very essence of what it means to be human is at play. When we can engineer our future children, massively extend our lifespans, build life from scratch, and recreate the plant and animal world, should we? ",Science,4.04,Sourcebooks,352,Hardcover,April 23rd 2019,https://www.goodreads.com/book/show/40597264-hacking-darwin?from_choice=true
212,Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,"You sit down at your desk to work on an important project, but a notification on your phone interrupts your morning. Later, as you're about to get back to work, a colleague taps you on the shoulder to chat. At home, screens get in the way of quality time with your family. Another day goes by, and once again, your most important personal and professional goals are put on
You sit down at your desk to work on an important project, but a notification on your phone interrupts your morning. Later, as you're about to get back to work, a colleague taps you on the shoulder to chat. At home, screens get in the way of quality time with your family. Another day goes by, and once again, your most important personal and professional goals are put on hold.  What would be possible if you followed through on your best intentions? What could you accomplish if you could stay focused and overcome distractions? What if you had the power to become ""indistractable""?  International best-selling author, former Stanford lecturer, and behavioral design expert, Nir Eyal, wrote Silicon Valley's handbook for making technology habit-forming. Five years after publishing Hooked, Eyal reveals distraction's Achilles' heel in his groundbreaking new book.  In Indistractable, Eyal reveals the hidden psychology driving us to distraction. He describes why solving the problem is not as simple as swearing off our devices: Abstinence is impractical and often makes us want more.  Eyal lays bare the secret of finally doing what you say you will do with a four-step, research-backed model. Indistractable reveals the key to getting the best out of technology, without letting it get the best of us.  Inside, Eyal overturns conventional wisdom and reveals: Why distraction at work is a symptom of a dysfunctional company culture - and how to fix it  What really drives human behavior and why ""time management is pain management""  Why your relationships (and your sex life) depend on you becoming indistractable  How to raise indistractable children in an increasingly distracting world Empowering and optimistic, Indistractable provides practical, novel techniques to control your time and attention - helping you live the life you really want.",Nonfiction,3.80,Benbella Books,273,Hardcover,September 10th 2019,https://www.goodreads.com/book/show/44595007-indistractable?from_choice=true
213,Burnout: The Secret to Unlocking the Stress Cycle,Emily Nagoski,"This groundbreaking book explains why women experience burnout differently than menand provides a simple, science-based plan to help women minimize stress, manage emotions, and live a more joyful life.Burnout. Many women in America have experienced it. Whats expected of women and what its really like to be a woman in todays world are two very different thingsand women
This groundbreaking book explains why women experience burnout differently than men—and provides a simple, science-based plan to help women minimize stress, manage emotions, and live a more joyful life.Burnout. Many women in America have experienced it. What’s expected of women and what it’s really like to be a woman in today’s world are two very different things—and women exhaust themselves trying to close the gap between them. How can you “love your body” when every magazine cover has ten diet tips for becoming “your best self”? How do you “lean in” at work when you’re already operating at 110 percent and aren’t recognized for it? How can you live happily and healthily in a sexist world that is constantly telling you you’re too fat, too needy, too noisy, and too selfish?Sisters Emily Nagoski, PhD, and Amelia Nagoski, DMA, are here to help end the cycle of feeling overwhelmed and exhausted. Instead of asking us to ignore the very real obstacles and societal pressures that stand between women and well-being, they explain with compassion and optimism what we’re up against—and show us how to fight back. In these pages you’ll learn• what you can do to complete the biological stress cycle—and return your body to a state of relaxation• how to manage the “monitor” in your brain that regulates the emotion of frustration• how the Bikini Industrial Complex makes it difficult for women to love their bodies—and how to defend yourself against it• why rest, human connection, and befriending your inner critic are keys to recovering and preventing burnoutWith the help of eye-opening science, prescriptive advice, and helpful worksheets and exercises, all women will find something transformative in these pages—and will be empowered to create positive change. Emily and Amelia aren’t here to preach the broad platitudes of expensive self-care or insist that we strive for the impossible goal of “having it all.” Instead, they tell us that we are enough, just as we are—and that wellness, true wellness, is within our reach.",Nonfiction,3.97,Ballantine Books,277,Hardcover,March 26th 2019,https://www.goodreads.com/book/show/42397849-burnout?from_choice=true
214,Because Internet: Understanding the New Rules of Language,Gretchen McCulloch," A linguistically informed look at how our digital world is transforming the English language. Language is humanity's most spectacular open-source project, and the internet is making our language change faster and in more interesting ways than ever before. Internet conversations are structured by the shape of our apps and platforms, from the grammar of status updates to
 A linguistically informed look at how our digital world is transforming the English language. Language is humanity's most spectacular open-source project, and the internet is making our language change faster and in more interesting ways than ever before. Internet conversations are structured by the shape of our apps and platforms, from the grammar of status updates to the protocols of comments and @replies. Linguistically inventive online communities spread new slang and jargon with dizzying speed. What's more, social media is a vast laboratory of unedited, unfiltered words where we can watch language evolve in real time.Even the most absurd-looking slang has genuine patterns behind it. Internet linguist Gretchen McCulloch explores the deep forces that shape human language and influence the way we communicate with one another. She explains how your first social internet experience influences whether you prefer ""LOL"" or ""lol,"" why ~sparkly tildes~ succeeded where centuries of proposals for irony punctuation had failed, what emoji have in common with physical gestures, and how the artfully disarrayed language of animal memes like lolcats and doggo made them more likely to spread.Because Internet is essential reading for anyone who's ever puzzled over how to punctuate a text message or wondered where memes come from. It's the perfect book for understanding how the internet is changing the English language, why that's a good thing, and what our online interactions reveal about who we are.",Nonfiction,4.07,Riverhead Books,327,Hardcover,"July 23rd, 2019",https://www.goodreads.com/book/show/36739320-because-internet?from_choice=true
215,Lifespan: Why We Age—and Why We Don't Have To,David A. Sinclair,"Its a seemingly undeniable truth that aging is inevitable. But what if everything weve been taught to believe about aging is wrong? What if we could choose our lifespan? In this groundbreaking book, Dr. David Sinclair, leading world authority on genetics and longevity, reveals a bold new theory for why we age. As he writes: Aging is a disease, and that disease is
It’s a seemingly undeniable truth that aging is inevitable. But what if everything we’ve been taught to believe about aging is wrong? What if we could choose our lifespan? In this groundbreaking book, Dr. David Sinclair, leading world authority on genetics and longevity, reveals a bold new theory for why we age. As he writes: “Aging is a disease, and that disease is treatable.” This book takes us to the frontlines of research many from Dr. David Sinclair’s own lab at Harvard—that demonstrate how we can slow down, or even reverse, aging. The key is activating newly discovered vitality genes, the descendants of an ancient genetic survival circuit that is both the cause of aging and the key to reversing it.",Science,4.23,Atria Books,432,Hardcover,"September 10th, 2019",https://www.goodreads.com/book/show/43723901-lifespan?from_choice=true
216,The Perfect Predator: A Scientist's Race to Save Her Husband from a Deadly Superbug: A Memoir,Steffanie Strathdee,"Epidemiologist Steffanie Strathdee and her husband, psychologist Tom Patterson, were vacationing in Egypt when Tom came down with a stomach bug. What at first seemed like a case of food poisoning quickly turned critical, and by the time Tom had been transferred via emergency medevac to the world-class medical center at UC San Diego, where both he and Steffanie worked,
Epidemiologist Steffanie Strathdee and her husband, psychologist Tom Patterson, were vacationing in Egypt when Tom came down with a stomach bug. What at first seemed like a case of food poisoning quickly turned critical, and by the time Tom had been transferred via emergency medevac to the world-class medical center at UC San Diego, where both he and Steffanie worked, blood work revealed why modern medicine was failing: Tom was fighting one of the most dangerous, antibiotic- resistant bacteria in the world.Frantic, Steffanie combed through research old and new and came across phage therapy: the idea that the right virus, aka ""the perfect predator,"" can kill even the most lethal bacteria. Phage treatment had fallen out of favor almost 100 years ago, after antibiotic use went mainstream. Now, with time running out, Steffanie appealed to phage researchers all over the world for help. She found allies at the FDA, researchers from Texas A&M, and a clandestine Navy biomedical center-and together they resurrected a forgotten cure.",Nonfiction,4.42,Hachette Book Group,337,Hardcover,February 26th 2019,https://www.goodreads.com/book/show/36589701-the-perfect-predator?from_choice=true
217,Super Pumped: The Battle for Uber,Mike Isaac,"In June 2017, Travis Kalanick, the hard-charging CEO of Uber, was ousted in a boardroom coup that capped a brutal year for the transportation giant. Uber had catapulted to the top of the tech world, yet for many came to symbolize everything wrong with Silicon Valley.Award-winning New York Times technology correspondent Mike Isaacs Super Pumped presents the dramatic rise
In June 2017, Travis Kalanick, the hard-charging CEO of Uber, was ousted in a boardroom coup that capped a brutal year for the transportation giant. Uber had catapulted to the top of the tech world, yet for many came to symbolize everything wrong with Silicon Valley.Award-winning New York Times technology correspondent Mike Isaac’s Super Pumped presents the dramatic rise and fall of Uber, set against an era of rapid upheaval in Silicon Valley. Backed by billions in venture capital dollars and led by a brash and ambitious founder, Uber promised to revolutionize the way we move people and goods through the world. A near instant “unicorn,” Uber seemed poised to take its place next to Amazon, Apple, and Google as a technology giant.What followed would become a corporate cautionary tale about the perils of startup culture and a vivid example of how blind worship of startup founders can go wildly wrong. Isaac recounts Uber’s pitched battles with taxi unions and drivers, the company’s toxic internal culture, and the bare-knuckle tactics it devised to overcome obstacles in its quest for dominance. With billions of dollars at stake, Isaac shows how venture capitalists asserted their power and seized control of the startup as it fought its way toward its fateful IPO.Based on hundreds of interviews with current and former Uber employees, along with previously unpublished documents, Super Pumped is a page-turning story of ambition and deception, obscene wealth, and bad behavior that explores how blistering technological and financial innovation culminated in one of the most catastrophic twelve-month periods in American corporate history.",Business,4.17,W. W. Norton  Company,387,Hardcover,"September 3rd, 2019",https://www.goodreads.com/book/show/44573628-super-pumped?from_choice=true
218,Something Deeply Hidden: Quantum Worlds and the Emergence of Spacetime,Sean Carroll,"As you read these words, copies of you are being created. Sean Carroll, theoretical physicist and one of this worlds most celebrated writers on science, rewrites the history of 20th century physics. Already hailed as a masterpiece, Something Deeply Hidden shows for the first time that facing up to the essential puzzle of quantum mechanics utterly transforms how we think
As you read these words, copies of you are being created. Sean Carroll, theoretical physicist and one of this world’s most celebrated writers on science, rewrites the history of 20th century physics. Already hailed as a masterpiece, Something Deeply Hidden shows for the first time that facing up to the essential puzzle of quantum mechanics utterly transforms how we think about space and time. His reconciling of quantum mechanics with Einstein’s theory of relativity changes, well, everything. Most physicists haven’t even recognized the uncomfortable truth: physics has been in crisis since 1927. Quantum mechanics has always had obvious gaps—which have come to be simply ignored. Science popularizers keep telling us how weird it is, how impossible it is to understand. Academics discourage students from working on the ""dead end"" of quantum foundations. Putting his professional reputation on the line with this audacious yet entirely reasonable book, Carroll says that the crisis can now come to an end. We just have to accept that there is more than one of us in the universe. There are many, many Sean Carrolls. Many of every one of us. Copies of you are generated thousands of times per second. The Many Worlds Theory of quantum behavior says that every time there is a quantum event, a world splits off with everything in it the same, except in that other world the quantum event didn't happen. Step-by-step in Carroll's uniquely lucid way, he tackles the major objections to this otherworldly revelation until his case is inescapably established. Rarely does a book so fully reorganize how we think about our place in the universe. We are on the threshold of a new understanding—of where we are in the cosmos, and what we are made of.",Science,4.10,Dutton,368,Hardcover,"September 10th, 2019",https://www.goodreads.com/book/show/44065062-something-deeply-hidden?from_choice=true
219,Blueprint: The Evolutionary Origins of a Good Society,Nicholas A. Christakis,"For too long, scientists have focused on the dark side of our biological heritage: our capacity for aggression, cruelty, prejudice, and self-interest. But natural selection has given us a suite of beneficial social features, including our capacity for love, friendship, cooperation, and learning. Beneath all of our inventions -- our tools, farms, machines, cities, nations
For too long, scientists have focused on the dark side of our biological heritage: our capacity for aggression, cruelty, prejudice, and self-interest. But natural selection has given us a suite of beneficial social features, including our capacity for love, friendship, cooperation, and learning. Beneath all of our inventions -- our tools, farms, machines, cities, nations -- we carry with us innate proclivities to make a good society.In Blueprint, Nicholas A. Christakis introduces the compelling idea that our genes affect not only our bodies and behaviors, but also the ways in which we make societies, ones that are surprisingly similar worldwide.With many vivid examples -- including diverse historical and contemporary cultures, communities formed in the wake of shipwrecks, commune dwellers seeking utopia, online groups thrown together by design or involving artificially intelligent bots, and even the tender and complex social arrangements of elephants and dolphins that so resemble our own -- Christakis shows that, despite a human history replete with violence, we cannot escape our social blueprint for goodness.In a world of increasing political and economic polarization, it's tempting to ignore the positive role of our evolutionary past. But by exploring the ancient roots of goodness in civilization, Blueprint shows that our genes have shaped societies for our welfare and that, in a feedback loop stretching back many thousands of years, societies are still shaping our genes today.",Science,3.95,"Little, Brown Spark",544,Hardcover,"March 26th, 2019",https://www.goodreads.com/book/show/40696923-blueprint?from_choice=true
220,Antoni in the Kitchen,Antoni Porowski,"Antoni Porowski, the food and wine guru on Netflix's sensation Queer Eye, meets people where they liveliterally. With appealing vulnerability, he shows cooks of all levels how to become more confident and casual in the kitchen. The verve and naturalness of his approach earned raves from Food & Wine and Bon Appétit to GQ and the New York Times, which noted his dishes
Antoni Porowski, the food and wine guru on Netflix's sensation Queer Eye, meets people where they live—literally. With appealing vulnerability, he shows cooks of all levels how to become more confident and casual in the kitchen. The verve and naturalness of his approach earned raves from Food & Wine and Bon Appétit to GQ and the New York Times, which noted his dishes prove that “sometimes simple is anything but simplistic.” Some of the recipes in this book are weeknight healthyish meals, while others are perfect for off-the-cuff entertaining. Visual stunners, they’re often composed of fewer than five ingredients. Whether Bastardized Easy Ramen; Malaysian Chili Shrimp; Roasted Carrots with Carrot-Top Pesto; or Salty Lemon Squares, all are visual stunners and can be carried off with panache, even by beginners.     ",Food and Drink,4.03,Rux Martin/Houghton Mifflin Harcourt,272,Hardcover,"September 9th, 2019",https://www.goodreads.com/book/show/39977443-antoni-in-the-kitchen?from_choice=true
