author,description,format,genre,month,pages,publisher,rating,title,year,best_seller
Michael Ruhlman,"Cookbook author and food writer Ruhlman explores the evolution of the American grocery store and how it has affected what we eat. The author uses two of his Midwestern hometown grocery chains, Heinen's and Fazio's, and his memories of his father's love of food and grocery shopping as the foundation for this engaging narrative. While he notes that many other writers have co",Hardcover,Nonfiction,May,307,Harry N. Abrams,3.72,Grocery: The Buying and Selling of Food in America,2017.0,0
Katie  Wells,"With six kids, a thriving business and no time, Katie was compelled to create meals that were healthy, easy-to-prepare, and family approved. The number one question she receives from her millions of dedicated fans, is ""how do you do it?"".  They are eager to take the healthy eating advice Katie provides on her popular Wellness Mama blog, and learn how to put it into practic",Hardcover,Food and Drink,December,336,Harmony,3.91,The Wellness Mama Cookbook: 200 Easy-To-Prepare Recipes and Time-Saving Advice for the Busy Cook,2016.0,0
Alice Waters,<b>The long-awaited memoir from cultural icon and culinary standard bearer Alice Waters recalls the circuitous road and tumultuous times leading to the opening of what is arguably America's most influential restaurant.</b>,Hardcover,Food and Drink,September,304,Clarkson Potter Publishers,3.33,Coming to My Senses: The Making of a Counterculture Cook,2017.0,0
Michelle Tam,"<b>Ready or Not, it's a new cookbook from the James Beard award-nominees and <i>New York Times</i> best-selling creators of Nom Nom Paleo, the wildly popular blog, app, and best-selling cookbook!</b>",Hardcover,Food and Drink,August,352,Andrews McMeel Publishing,4.52,"Ready or Not!: 150+ Make-Ahead, Make-Over, and Make-Now Recipes by Nom Nom Paleo",2017.0,0
Kathryne Taylor,"The path to a healthy body and happy belly is paved with real food fresh, wholesome, sustainable....",Hardcover,Food and Drink,May,272,Rodale Books,4.42,Love Real Food: More Than 100 Feel-Good Vegetarian Favorites to Delight the Senses and Nourish the Body,2017.0,0
Sarah Lohman,This unique culinary history of America offers a fascinating look at our past and uses long-forgotten recipes to explain how eight flavors changed how we eat.,Hardcover,Nonfiction,December,304,Simon & Schuster,3.92,Eight Flavors: The Untold Story of American Cuisine,2016.0,0
Jim Harrison,<i>New York Times</i>,Hardcover,Food and Drink,March,275,Grove Press,4.04,A Really Big Lunch: Meditations on Food and Life from the Roving Gourmand,2017.0,0
Yotam Ottolenghi,"In his stunning new baking and desserts cookbook Yotam Ottolenghi and his long-time collaborator Helen Goh bring the Ottolenghi hallmarks of fresh, evocative ingredients, exotic spices and complex flavourings - including fig, rose petal, saffron, aniseed, orange blossom, pistachio and cardamom - to indulgent cakes, biscuits, tarts, puddings, cheesecakes and ice cream.",Hardcover,Food and Drink,October,368,Ten Speed Press,4.34,Sweet,2017.0,0
Tieghan Gerard,"Tieghan Gerard grew up in the Colorado mountains as one of seven children. When her dad took too long to get dinner on the table every night, she started doing the cooking--at age 14. Ever-determined to reign in the chaos of her big family, Tieghan found her place in the kitchen. She had a knack for creating unique dishes, which led her to launch her blog, ",Hardcover,Food and Drink,September,304,Clarkson Potter Publishers,4.36,Half Baked Harvest Cookbook: Recipes from My Barn in the Mountains,2017.0,0
Sarah Andersen,"Sarah Andersen's second comics collection picks up right where the first left off - huddled under a pile of blankets avoiding the responsibilities of the real world. These new comics (and illustrated personal essays!) follow the ups and downs of the unrelenting self-esteem roller coaster that is young adult life: budgeting woes, cramps, the nuances of sweater theft, and th",Paperback,Sequential Art,March,128,Andrews McMeel Publishing,4.3,Big Mushy Happy Lump,2017.0,0
Greg Rucka,A part of ,Paperback,Sequential Art,February,128,DC Comics,3.91,"Wonder Woman, Volume 1: The Lies",2017.0,0
Brian K. Vaughan,"From the worldwide bestselling team of Fiona Staples and Brian K. Vaughan, “The War for Phang” is an epic, self-contained ",Paperback,Sequential Art,April,152,Image Comics,4.52,"Saga, Vol. 7",2017.0,0
Marissa Meyer,"When rogue packs of wolf-hybrid soldiers threaten the tenuous peace alliance between Earth and Luna, Iko takes it upon herself to hunt down the soldiers' leader. She is soon working with a handsome royal guard who forces her to question everything she knows about love, loyalty, and her own humanity. With appearances by Cinder and the rest of the Rampion crew, this is a mus",Hardcover,Sequential Art,January,238,Feiwel & Friends,4.17,Wires and Nerve,2017.0,0
Marjorie M. Liu,"Maika Halfwolf is on the run from a coalition of forces determined to control or destroy the powerful Monstrum that lives beneath her skin. But Maika still has a mission of her own: to discover the secrets of her late mother, Moriko. ",Paperback,Sequential Art,July,182,Image Comics,4.33,"Monstress, Vol. 2: The Blood",2017.0,0
Shannon Hale,<b>When best friends are not forever . . . </b>,Hardcover,Sequential Art,May,224,First Second,4.1,Real Friends,2017.0,0
G. Willow Wilson,"While CIVIL WAR II brews, the next generation of Avengers has bigger things to worry about--like a tri-state academic competition! As rival schools clash, Ms. Marvel's teammates Spider-Man and Nova are now her enemies! But when Kamala gets called to the real battle's front line, she faces a fight she can't embiggen her way out of. She's about to learn a valuable lesson: Ne",Paperback,Sequential Art,December,136,Marvel,4.23,"Ms. Marvel, Vol. 6: Civil War II",2016.0,0
Jomny Sun,<em>Everyone’s a Aliebn When Ur a Aliebn Too </em>,Hardcover,Sequential Art,June,304,Harper Perennial,4.05,Everyone's a Aliebn When Ur a Aliebn Too,2017.0,0
Thi Bui,<b>An intimate and poignant graphic novel portraying one family’s journey from war-torn Vietnam from debut author Thi Bui</b>,Hardcover,Sequential Art,March,329,Harry N. Abrams,4.38,The Best We Could Do,2017.0,0
Brian K. Vaughan,<b>Brian K. Vaughan</b>,Paperback,Sequential Art,November,128,Image Comics,4.16,"Paper Girls, Vol. 2",2016.0,0
Noelle Stevenson,"<b>What gives, two-legs?!</b>",Paperback,Sequential Art,December,112,BOOM! Box,3.99,"Lumberjanes, Vol. 5: Band Together",2016.0,0
Emil Ferris,"Set against the tumultuous political backdrop of late ’60s Chicago, ",Paperback,Sequential Art,February,414,Fantagraphics,4.12,"My Favorite Thing Is Monsters, Vol. 1",2017.0,0
Michael Dante DiMartino,"Relishing their newfound feelings for each other, Korra and Asami leave the Spirit World . . . but find nothing in Republic City but political hijinks and human vs. spirit conflict! ",Paperback,Fantasy,July,80,Dark Horse,4.28,The Legend of Korra: Turf Wars Part One,2017.0,0
Tom King,"Once upon a time a robot and a witch fell in love. What followed was a tale of the dead and the dying, of the hopeful and the lost, of the wronged and the avenged. And in the end, after both had fallen, the witch and the robot rose from their dirt and eyed each other across a field of blood and bone. Forty-five years in the making, this is the story of Scarlet Witch and th",Paperback,Sequential Art,December,136,Marvel,4.44,"The Vision, Volume 2: Little Better than a Beast",2016.0,0
Jonathan Hickman,<b>All Hail God Money!</b>,Paperback,Sequential Art,January,240,Image Comics,4.18,"The Black Monday Murders, Vol. 1: All Hail, God Mammon",2017.0,0
Jeff Lemire,"Once they were heroes, but the age of heroes has long since passed. Banished from existence by a multiversal crisis, the old champions of Spiral City--Abraham Slam, Golden Gail, Colonel Weird, Madame Dragonfly, and Barbalien--now lead simple lives in an idyllic, timeless farming village from which there is no escape! But as they employ all of their super abilities to free",Paperback,Sequential Art,April,184,Dark Horse,4.21,"Black Hammer, Vol. 1: Secret Origins",2017.0,0
Kelly Sue DeConnick,"Eisner Award-nominated writer KELLY SUE DeCONNICK (PRETTY DEADLY, Captain Marvel) and VALENTINE DE LANDRO (X-Factor) follow up on the success of EXTRAORDINARY MACHINE with the second installment of their highly acclaimed and fiercely unapologetic BITCH PLANET. A few years down the road in the wrong direction, a woman's failure to comply with her patriarchal overlords resul",Paperback,Sequential Art,June,144,Image Comics,4.31,"Bitch Planet, Vol. 2: President Bitch",2017.0,0
Kieron Gillen,"The gods are free to do whatever they want. Inevitably, they do. Collects issues 23-28 of the series, including the critically lauded Kevin Wada magazine issue.",Paperback,Sequential Art,June,144,Image Comics,4.02,"The Wicked + The Divine, Vol. 5: Imperial Phase, Part I",2017.0,0
Joe Sugg,<p> <b>BOOK 3 IN THE USERNAME SERIES</b> </p>,Kindle Edition,Sequential Art,September,192,Hodder & Stoughton,4.02,Username: Uprising,2017.0,0
Scott Westerfeld,"Three years ago an event destroyed the small city of Poughkeepsie, forever changing reality within its borders. Uncanny manifestations and lethal dangers now await anyone who enters the Spill Zone.",Hardcover,Sequential Art,May,224,First Second,4.03,Spill Zone,2017.0,0
Rupi Kaur,"From Rupi Kaur, the #1 New York Times bestselling author of milk and honey, comes her long-awaited second collection of poetry. A vibrant and transcendent journey about growth and healing. Ancestry and honoring one’s roots. Expatriation and rising up to find a home within yourself.",Paperback,Poetry,October,256,Andrews McMeel Publishing,4.18,The Sun and Her Flowers,2017.0,0
Sabrina Benaim,<i>Depression &amp; Other Magic Tricks</i>,Paperback,Poetry,August,75,Button Poetry,3.83,Depression & Other Magic Tricks,2017.0,0
Kwame Alexander,"<i>When the heart gets lost, let the music find you.</i>",Hardcover,Poetry,July,464,Blink,3.99,Solo,2017.0,0
Atticus Poetry,<b>The first collection of poetry by Instagram sensation Atticus.</b>,Paperback,Poetry,July,225,Atria Books,4.02,Love Her Wild,2017.0,0
Jason Reynolds,"1 hour, 43 minutes",Hardcover,Young Adult,October,306,Atheneum/Caitlyn Dlouhy Books,4.38,Long Way Down,2017.0,0
Sarah Crossan,"<b>From two acclaimed authors comes an emotional story told in verse about friendship, love, and overcoming unbeatable odds.</b>",Paperback,Poetry,February,336,Bloomsbury Childrens,3.67,We Come Apart,2017.0,0
Olivia Gatwood,"One of the most recognizable young poets in America, Olivia Gatwood dazzles with her tribute to contemporary American womanhood in her debut book, New American Best Friend. Gatwood's poems deftly deconstruct traditional stereotypes. The focus shifts from childhood to adulthood, gender to sexuality, violence to joy. And always and inexorably, the book moves toward celebrati",Paperback,Poetry,March,55,Button Poetry,4.35,New American Best Friend,2017.0,0
Morgan  Parker,<em>There Are More Beautiful Things Than Beyoncé</em>,Paperback,Poetry,February,85,Tin House Books,4.01,There Are More Beautiful Things Than Beyoncé,2017.0,0
Hollie McNish,Hollie McNish has thrilled and entranced audiences the length and breadth of the UK with her compelling and powerful performances. ,Paperback,Poetry,June,125,Picador,4.13,Plum,2017.0,0
Eve L. Ewing,"Electric Arches is an imaginative exploration of black girlhood and womanhood through poetry, visual art, and narrative prose. Blending stark realism with the fantastical, Ewing takes us from the streets of Chicago to an alien arrival in an unspecified future, deftly navigating boundaries of space, time, and reality with delight and flexibility.",Paperback,Poetry,September,94,Haymarket Books,4.29,Electric Arches,2017.0,0
Marie Howe,<em>Magdalene</em>,Hardcover,Poetry,March,96,W. W. Norton  Company,4.09,Magdalene,2017.0,0
Gabbie Hanna,"From Teen Choice Award-nominated comedian and vlogger Gabbie Hanna, known on YouTube as The Gabbie Show, an astounding debut poetry collection that captures the essence of what it means to come of age in today’s world.",Paperback,Poetry,September,256,Atria/Keywords Press,3.65,Adultolescence,2017.0,0
Pyrokardia,"<em>This book is not for healing,<br/>it is a shelter for your breaking<br/>you will leave<br/>but you'll leave whole.</em>",Paperback,Poetry,January,128,CreateSpace Independent Publishing Platform,3.37,Broken Wishbones and Empty Spaces,2017.0,0
Chen  Chen,"In this ferocious and tender debut, Chen Chen investigates inherited forms of love and family—the strained relationship between a mother and son, the cost of necessary goodbyes—all from Asian American, immigrant, and queer perspectives. Holding all accountable, this collection fully embraces the loss, grief, and abundant joy that come with charting one’s own path in identi",Paperback,Poetry,April,96,BOA Editions Ltd,4.3,When I Grow Up I Want to Be a List of Further Possibilities,2017.0,0
Tommy Pico,<em>Nature Poem</em>,Paperback,Poetry,May,78,Tin House Books,4.42,Nature Poem,2017.0,0
Morgan Nikola-Wren,"In her much-anticipated debut poetry collection, Morgan Nikola-Wren has woven her signature romantic grit through a stunning, modern-day fairy tale. Chronicling the relationship between a lonely artist and her absent--albeit abusive--muse, Magic with Skin On will gently break you, then put you back together again.",Paperback,Poetry,February,144,Luminarium Press,4.17,Magic with Skin On,2017.0,0
Kaveh Akbar,"""Was it Jung who speculated that alcoholism might be an attempt at a material solution for a spiritual problem? Kaveh Akbar seems able to contain both--he's a demotic, as well as a spiritual, poet (the only type of either I trust). Each word in this little book might rise up from somewhere deep in the earth, but they turn into stars."" - Nick Flynn",Paperback,Poetry,January,45,"Sibling Rivalry Press, LLC",4.51,Portrait of the Alcoholic,2017.0,0
Danez Smith,"Award-winning poet Danez Smith is a groundbreaking force, celebrated for deft lyrics, urgent subjects, and performative power. ",Paperback,Poetry,September,96,Graywolf Press,4.55,Don't Call Us Dead,2017.0,0
Natalie Shapero,"Thought-provoking and sardonically expressive, Shapero is a self-proclaimed “hard child”—unafraid of directly addressing bleakness as she continually asks what it means to be human and to bring new life into the world. ",Paperback,Poetry,April,96,Copper Canyon Press,4.11,Hard Child,2017.0,0
Angie Thomas,<b>A three-time winner of Goodreads Choice Awards</b>,Hardcover,Young Adult,February,444,Balzer + Bray,4.55,The Hate U Give,2017.0,0
Stephanie Garber,"<i>Remember, it’s only a game…</i>",Hardcover,Fantasy,January,407,Flatiron Books,3.94,Caraval,2017.0,0
Matthew J. Sullivan,"When a bookshop patron commits suicide, his favorite store clerk must unravel the puzzle he left behind. Lydia Smith lives her life hiding in plain sight. A clerk at the Bright Ideas bookstore, she keeps a meticulously crafted existence among her beloved books, eccentric colleagues, and the BookFrogs—the lost and lonely regulars who spend every day marauding the store’s ov",Hardcover,Mystery,June,328,Scribner,3.79,Midnight at the Bright Ideas Bookstore,2017.0,0
Jennifer    Ryan,<p>The village of Chilbury in Kent is about to ring in some changes.<br/>This is a delightful novel of wartime gumption and village spirit that will make your heart sing out.</p>,Hardcover,Historical,February,371,Crown Publishing Group,3.99,The Chilbury Ladies' Choir,2017.0,0
Rachel Khong,"Goodbye, Vitamin is the wry, beautifully observed story of a woman at a crossroads, as Ruth and her friends attempt to shore up her father's career; she and her mother obsess over the ambiguous health benefits - in the absence of a cure - of dried jellyfish supplements and vitamin pills; and they all try to forge a new relationship with the brilliant, childlike, irascible",Paperback,Fiction,July,208,Henry Holt and Co,3.73,"Goodbye, Vitamin",2017.0,0
Kayla Rae Whitaker,"In the male-dominated field of animation, Mel Vaught and Sharon Kisses are a dynamic duo, the friction of their differences driving them: Sharon, quietly ambitious but self-doubting; Mel, brash and unapologetic, always the life of the party. Best friends and artistic partners since the first week of college, where they bonded over their working-class roots and obvious tale",Hardcover,Fiction,January,369,Random House,3.97,The Animators,2017.0,0
Abby Fabiaschi,"A story from debut author Abby Fabiaschi that is ""as absorbing as it is illuminating, and as witty as it is heartbreaking.""",Hardcover,Fiction,January,272,St. Martin's Press,4.17,I Liked My Life,2017.0,0
Zinzi Clemmons,"From an author of rare, haunting power, a stunning novel about a young African-American woman coming of age—a deeply felt meditation on race, sex, family, and country",Hardcover,Fiction,July,213,Viking,3.64,What We Lose,2017.0,0
Devney Perry,<b>One old farmhouse brought them together. It could also tear them apart.</b>,Paperback,Romance,March,376,EverAfter Romance,3.92,The Coppersmith Farmhouse,2017.0,0
Robinne Lee,"When Solène Marchand, the thirty-nine-year-old owner of a prestigious art gallery in Los Angeles, takes her daughter, Isabelle, to meet her favorite boy band, she does so reluctantly and at her ex-husband’s request. The last thing she expects is to make a connection with one of the members of the world-famous August Moon. But Hayes Campbell is clever, winning, confident, a",Paperback,Romance,June,372,St. Martin's Griffin,4.18,The Idea of You,2017.0,0
Dan Moren,"The galaxy is mired in a cold war between two superpowers, the Illyrican Empire and the Commonwealth. Thrust between this struggle are Simon Kovalic, the Commonwealth’s preeminent spy, and Kyle Rankin, a lowly soldier happily scrubbing toilets on Sabea, a remote and isolated planet. However, nothing is as it seems.",Paperback,Science Fiction,May,312,Talos,3.92,The Caledonian Gambit,2017.0,0
John Green,"Sixteen-year-old Aza never intended to pursue the mystery of fugitive billionaire Russell Pickett, but there’s a hundred-thousand-dollar reward at stake and her Best and Most Fearless Friend, Daisy, is eager to investigate. So together, they navigate the short distance and broad divides that separate them from Russell Pickett’s son, Davis. Aza is trying. She is trying to b",Hardcover,Young Adult,October,288,Dutton Books for Young Readers,4.01,Turtles All the Way Down,2017.0,0
Karen M. McManus,"<b><i>The Breakfast Club</i> meets <i>Pretty Little Liars</i>, <i>One of Us Is Lying</i> is the story of what happens when five strangers walk into detention and only four walk out alive. Everyone is a suspect, and everyone has something to hide.</b>",Hardcover,Young Adult,May,361,Delacorte Press,4.06,One of Us Is Lying,2017.0,0
Mackenzi Lee,"Henry “Monty” Montague was born and bred to be a gentleman, but he was never one to be tamed. The finest boarding schools in England and the constant disapproval of his father haven’t been able to curb any of his roguish passions—not for gambling halls, late nights spent with a bottle of spirits, or waking up in the arms of women or men.",Hardcover,Historical,June,513,Katherine Tegen Books,4.16,The Gentleman's Guide to Vice and Virtue,2017.0,0
Jenny Han,<b>Lara Jean is having <i>the best</i> senior year.</b>,Hardcover,Young Adult,May,325,Simon  Schuster Books for Young Readers,4.17,"Always and Forever, Lara Jean",2017.0,0
Ashley Poston,"Geek girl Elle Wittimer lives and breathes Starfield, the classic science-fiction series she grew up watching with her late father. So when she sees a cosplay contest for a new Starfield movie, she has to enter. The prize? An invitation to the ExcelsiCon Cosplay Ball and a meet-and-greet with the actor slated to play Federation Prince Carmindor in the reboot. With savings",Hardcover,Young Adult,April,320,Quirk Books,4.04,Geekerella,2017.0,0
Francesca Zappia,<i>Her story is a phenomenon. Her life is a disaster.</i>,Hardcover,Contemporary,May,385,Greenwillow Books,4.27,Eliza and Her Monsters,2017.0,0
Sarah Dessen,"<b>As bubbly as champagne and delectable as wedding cake, <i>Once and for All</i>, Sarah Dessen's thirteenth novel, is set in the world of wedding planning, where crises are routine.</b>",Hardcover,Young Adult,June,358,Viking Books for Young Readers,3.77,Once and for All,2017.0,0
Sandhya Menon,"Dimple Shah has it all figured out. With graduation behind her, she’s more than ready for a break from her family, from Mamma’s inexplicable obsession with her finding the “Ideal Indian Husband.” Ugh. Dimple knows they must respect her principles on some level, though. If they truly believed she needed a husband right now, they wouldn’t have paid for her to attend a summer",Hardcover,Young Adult,May,380,Simon Pulse,3.74,When Dimple Met Rishi,2017.0,0
Kasie West,An irresistible story from Kasie West that explores the timeless question: What do you do when you fall for the person you least expect?,Paperback,Young Adult,January,346,HarperTeen,3.85,By Your Side,2017.0,0
Becky Albertalli,"Seventeen-year-old Molly Peskin-Suso knows all about unrequited love—she’s lived through it twenty-six times. She crushes hard and crushes often, but always in secret. Because no matter how many times her twin sister, Cassie, tells her to woman up, Molly can’t stomach the idea of rejection. So she’s careful. Fat girls ",Hardcover,Young Adult,April,336,Balzer + Bray,4.01,The Upside of Unrequited,2017.0,0
Adam Silvera,"When Griffin’s first love and ex-boyfriend, Theo, dies in a drowning accident, his universe implodes. Even though Theo had moved to California for college and started seeing Jackson, Griffin never doubted Theo would come back to him when the time was right. But now, the future he’s been imagining for himself has gone far off course.",Hardcover,Young Adult,January,292,Soho Teen,4.09,History Is All You Left Me,2017.0,0
Benjamin Alire Sáenz,<i>The first day of senior year:</i>,Hardcover,Young Adult,March,452,Clarion Books,4.14,The Inexplicable Logic of My Life,2017.0,0
Robin Roe,"When Adam Blake lands the best elective ever in his senior year, serving as an aide to the school psychologist, he thinks he’s got it made. Sure, it means a lot of sitting around, which isn’t easy for a guy with ADHD, but he can’t complain, since he gets to spend the period texting all his friends. Then the doctor asks him to track down the troubled freshman who keeps dodg",Hardcover,Young Adult,January,310,Disney-Hyperion,4.31,A List of Cages,2017.0,0
Adam Silvera,<b>Adam Silvera reminds us that there’s no life without death and no love without loss in this devastating yet uplifting story about two people whose lives change over the course of one unforgettable day.</b>,Hardcover,Young Adult,September,373,HarperTeen,4.15,They Both Die at the End,2017.0,0
Chris Colfer,"Cash Carter is the young, world famous lead actor of the hit television Wiz Kids. When four fans jokingly invite him on a cross-country road trip, they are shocked that he actually takes them up on it. Chased by paparazzi and hounded by reporters, this unlikely crew takes off on a journey of a lifetime--but along the way they discover that the star they love has deep secre",Hardcover,Young Adult,February,295,"Little, Brown Books for Young Readers",3.82,Stranger Than Fanfiction,2017.0,0
Nina LaCour,"<i>You go through life thinking there’s so much you need…<br/><br/>Until you leave with only your phone, your wallet, and a picture of your mother.</i>",Hardcover,Young Adult,February,236,Dutton Books for Young Readers,3.97,We Are Okay,2017.0,0
Jeff Zentner,<i>What if you could spend one last day with someone you lost?</i>,Hardcover,Young Adult,March,399,Crown Books for Young Readers,4.19,Goodbye Days,2017.0,0
Christina Lauren,"Three years ago, Tanner Scott’s family relocated from California to Utah, a move that nudged the bisexual teen temporarily back into the closet. Now, with one semester of high school to go, and no obstacles between him and out-of-state college freedom, Tanner plans to coast through his remaining classes and clear out of Utah.",Hardcover,Young Adult,September,407,Simon & Schuster Books for Young Readers,4.36,Autoboyography,2017.0,0
Jennifer Mathieu,<i>Moxie girls fight back!</i>,Hardcover,Young Adult,September,330,Roaring Brook Press,4.36,Moxie,2017.0,0
Sarah J. Maas,Looming war threatens all Feyre holds dear in the third volume of the #1 ,Paperback,Fantasy,May,699,Bloomsbury Childrens Books,4.5,A Court of Wings and Ruin,2017.0,0
Cassandra Clare,<i>Would you trade your soul mate for your soul?</i>,Hardcover,Fantasy,May,699,Margaret K. McElderry Books,4.54,Lord of Shadows,2017.0,0
Victoria Aveyard,"<i>When the Lightning Girl’s spark is gone, who will light the way for the rebellion?</i>",Hardcover,Fantasy,February,507,HarperTeen,4.02,King's Cage,2017.0,0
Laini Taylor,"<b>The dream chooses the dreamer, not the other way around—</b>",Hardcover,Fantasy,March,536,"Little, Brown Books for Young Readers",4.37,Strange the Dreamer,2017.0,0
Sarah J. Maas,"<b>In the next installment of the <i>New York Times</i> bestselling <i>Throne of Glass series</i>, follow Chaol on his sweeping journey to a distant empire.</b>",Hardcover,Fantasy,September,672,Bloomsbury USA Childrens,4.43,Tower of Dawn,2017.0,0
Marie Lu,"<b>For the millions who log in every day, Warcross isn’t just a game—it’s a way of life.</b>",Hardcover,Young Adult,September,353,G.P. Putnam’s Sons Books for Young Readers,4.2,Warcross,2017.0,0
Neal Shusterman,<i>Thou shalt kill.</i>,Hardcover,Young Adult,November,435,Simon  Schuster Books for Young Readers,4.36,Scythe,2016.0,0
Veronica Roth,"<i>In a galaxy powered by the current, everyone has a gift.</i>",Hardcover,Young Adult,January,468,Katherine Tegen Books,3.77,Carve the Mark,2017.0,0
Victoria Schwab,THE WORLD IS BREAKING. AND SO ARE THEY.,Hardcover,Fantasy,June,510,Greenwillow Books,4.23,Our Dark Duet,2017.0,0
S. Jae-Jones,"<i>The last night of the year. Now the days of winter begin and the Goblin King rides abroad, searching for his bride....</i>",Hardcover,Fantasy,February,436,Thomas Dunne Books,3.58,Wintersong,2017.0,0
Renée Ahdieh,"The only daughter of a prominent samurai, Mariko has always known she’d been raised for one purpose and one purpose only: to marry. Never mind her cunning, which rivals that of her twin brother, Kenshin, or her skills as an accomplished alchemist. Since Mariko was not born a boy, her fate was sealed the moment she drew her first breath.",Hardcover,Fantasy,May,392,G.P. Putnam's Sons,3.93,Flame in the Mist,2017.0,0
Philip Pullman,Malcolm Polstead is the kind of boy who notices everything but is not much noticed himself. And so perhaps it was inevitable that he would become a spy...,Hardcover,Fantasy,October,449,Alfred A. Knopf,4.19,La Belle Sauvage,2017.0,0
Leigh Bardugo,<i>Love speaks in flowers. Truth requires thorns.</i>,Hardcover,Fantasy,September,281,Imprint,4.46,The Language of Thorns: Midnight Tales and Dangerous Magic,2017.0,0
Alwyn Hamilton,<i>Rebel by chance. Traitor by choice.</i>,Hardcover,Fantasy,March,518,Viking,4.34,Traitor to the Throne,2017.0,0
Samantha Shannon,"The hotly anticipated third book in the bestselling Bone Season series – a ground-breaking, dystopian fantasy of extraordinary imagination",Hardcover,Fantasy,March,384,Bloomsbury USA,4.15,The Song Rising,2017.0,0
Maggie Stiefvater,"<b>From bestselling author Maggie Stiefvater, a gripping tale of darkness, miracles, and family. Saints. Miracles. Family. Romance. Death. Redemption.</b>",Hardcover,Fantasy,October,320,Scholastic Press,3.85,All the Crooked Saints,2017.0,0
Morgan Rhodes,"The ruthless Empress Amara of Kraeshia has taken the Mytican throne, and now uncertainty looms over the three kingdoms. Since Lucia unleashed the fire Kindred, wreaking havoc throughout the land, Myticans have been looking for someone—anyone—they can trust. They believe in Amara, not knowing her grand promises are built on lies.",Hardcover,Fantasy,December,379,Razorbill,4.27,Crystal Storm,2016.0,0
Sarah Rees Brennan,"<i>“What’s your name?”<br/><br/>“Serene.”<br/><br/>“Serena?” Elliot asked.<br/><br/>“Serene,” said Serene. “My full name is Serene-Heart-in-the-Chaos-of-Battle.”<br/><br/>Elliot’s mouth fell open. “That is badass.”</i>",Hardcover,Fantasy,August,437,Big Mouth House,4.36,In Other Lands,2014.0,0
Laurie Forest,<i>A new Black Witch will rise…her powers vast beyond imagining.</i>,Hardcover,Fantasy,May,601, Harlequin Teen,3.94,The Black Witch,2017.0,0
Rick Riordan,"Magnus Chase, son of Frey, the god of summer and health, isn't naturally inclined toward being a brave warrior. Still, with the help of his motley group of friends, he has achieved deeds he never would have thought possible. Now he faces his most dangerous trial yet.",Hardcover,Fantasy,October,410,Disney-Hyperion,4.38,The Ship of the Dead,2017.0,0
Rick Riordan,"Zeus has punished his son Apollo--god of the sun, music, archery, poetry, and more--by casting him down to earth in the form of a gawky, acne-covered sixteen-year-old mortal named Lester. The only way Apollo can reclaim his rightful place on Mount Olympus is by restoring several Oracles that have gone dark. What is affecting the Oracles, and how can Apollo/Lester do anythi",Hardcover,Fantasy,May,414,Disney-Hyperion,4.26,The Dark Prophecy,2017.0,0
Jennifer Donnelly,"Smart, bookish Belle, a captive in the Beast’s castle, has become accustomed to her new home and has befriended its inhabitants. When she comes upon ",Hardcover,Fantasy,January,341,Disney Press,3.91,Beauty and the Beast: Lost in a Book,2017.0,0
Chris Colfer,<b>The epic conclusion to Chris Colfer's #1 New York Times bestselling series The Land of Stories!</b>,Hardcover,Fantasy,July,480,"Little, Brown Books for Young Readers",4.55,Worlds Collide,2017.0,0
Hena Khan,"Amina has never been comfortable in the spotlight. She is happy just hanging out with her best friend, Soojin. Except now that she’s in middle school everything feels different. Soojin is suddenly hanging out with Emily, one of the “cool” girls in the class, and even talking about changing her name to something more “American.” Does Amina need to start changing too? Or hid",Hardcover,Childrens,March,208,Salaam Reads / Simon  Schuster Books for Young Readers,4.0,Amina's Voice,2017.0,0
Jack Cheng,"A space-obsessed boy and his dog, Carl Sagan, take a journey toward family, love, hope, and awe in this funny and moving novel for fans of Counting by 7s, Walk Two Moons, and The Curious Incident of the Dog in the Night-Time.",Hardcover,Childrens,February,315,Dial Books,4.04,See You in the Cosmos,2017.0,0
Lauren Wolk,<b>From the author of the critically acclaimed <i>Wolf Hollow</i> comes a moving story of identity and belonging.</b>,Hardcover,Historical,May,304,Dutton Books for Young Readers,4.12,Beyond the Bright Sea,2017.0,0
Brandon Mull,"In the hidden dragon sanctuary of Wyrmroost, Celebrant the Just, King of the Dragons, plots his revenge. He has long seen the sanctuaries as prisons, and he wants nothing more than to overthrow his captors and return the world to the Age of Dragons, when he and his kind ruled and reigned without borders. The time has come to break free and reclaim his power.",Hardcover,Fantasy,March,384,Shadow Mountain,4.32,Dragonwatch,2017.0,0
Barbara Dee,<b>Mattie is chosen to play Romeo opposite her crush in the eighth grade production of Shakespeare’s most beloved play in this Romeo and Juliet inspired novel from the author of <i>Truth or Dare.</i></b>,Hardcover,Childrens,March,277,Aladdin,4.24,Star-Crossed,2017.0,0
Melissa de la Cruz,<i>Ride with the tide! </i>,Hardcover,Fantasy,May,304,Disney-Hyperion,4.08,Rise of the Isle of the Lost,2017.0,0
Lisa   Thompson,"Matthew Corbin suffers from severe obsessive-compulsive disorder. He hasn't been to school in weeks. His hands are cracked and bleeding from cleaning. He refuses to leave his bedroom. To pass the time, he observes his neighbors from his bedroom window, making mundane notes about their habits as they bustle about the cul-de-sac. ",Hardcover,Mystery,February,320,Scholastic Press,4.1,The Goldfish Boy,2017.0,0
